pisco,CCCma-CanESM2_lsraw,CSIRO-QCCCE-Mk3_lsraw,ICHEC-EC-EARTH_lsraw,IPSL-CM5A-MR_lsraw,MIROC-MIROC5_lsraw,MOHC-HadGEM2-ES_lsraw,NCC-NorESM1-M_lsraw,NOAA-GFDL-ESM2M_lsraw,CCCma-CanESM2-SAM20_lsraw,MIROC-MIROC5-SAM20_lsraw,CCCma-CanESM2_ls,CSIRO-QCCCE-Mk3_ls,ICHEC-EC-EARTH_ls,IPSL-CM5A-MR_ls,MIROC-MIROC5_ls,MOHC-HadGEM2-ES_ls,NCC-NorESM1-M_ls,NOAA-GFDL-ESM2M_ls,CCCma-CanESM2-SAM20_ls,MIROC-MIROC5-SAM20_ls,CCCma-CanESM2_ptraw,CSIRO-QCCCE-Mk3_ptraw,ICHEC-EC-EARTH_ptraw,IPSL-CM5A-MR_ptraw,MIROC-MIROC5_ptraw,MOHC-HadGEM2-ES_ptraw,NCC-NorESM1-M_ptraw,NOAA-GFDL-ESM2M_ptraw,CCCma-CanESM2-SAM20_ptraw,MIROC-MIROC5-SAM20_ptraw,CCCma-CanESM2_pt,CSIRO-QCCCE-Mk3_pt,ICHEC-EC-EARTH_pt,IPSL-CM5A-MR_pt,MIROC-MIROC5_pt,MOHC-HadGEM2-ES_pt,NCC-NorESM1-M_pt,NOAA-GFDL-ESM2M_pt,CCCma-CanESM2-SAM20_pt,MIROC-MIROC5-SAM20_pt,CSIRO-QCCCE-Mk3_dmraw,ICHEC-EC-EARTH_dmraw,IPSL-CM5A-MR_dmraw,MIROC-MIROC5_dmraw,MOHC-HadGEM2-ES_dmraw,NCC-NorESM1-M_dmraw,NOAA-GFDL-ESM2M_dmraw,CSIRO-QCCCE-Mk3_dm,ICHEC-EC-EARTH_dm,IPSL-CM5A-MR_dm,MIROC-MIROC5_dm,MOHC-HadGEM2-ES_dm,NCC-NorESM1-M_dm,NOAA-GFDL-ESM2M_dm
305.74,348.41,217.55,101.32,72.73,60.93,36.73,133.51,30.15,245.97,185.09,351.19,291.74,187.1,179.58,151.02,195.51,245.23,54.06,276.73,363.72,348.41,217.55,101.32,72.73,60.93,36.73,133.51,30.15,245.97,185.09,350.98,282.82,193.83,190.86,164.12,191.72,233.79,63.44,329.37,350.38,217.55,101.32,72.73,60.93,36.73,133.51,30.15,285.94,189.12,178.71,154.29,158.02,234.81,57.82
163.28,188.08,98.55,59.59,79.28,50.52,56.9,73.79,49.94,267.44,133.7,130.74,88.43,87.66,120.72,98.11,147.57,116.25,73.35,183.81,121.01,188.08,98.55,59.59,79.28,50.52,56.9,73.79,49.94,267.44,133.7,131.47,96.46,109.8,129.08,118.35,153.3,124.55,83.75,199.82,121.08,98.55,59.59,79.28,50.52,56.9,73.79,49.94,86.68,97.06,121.85,106.01,129.98,118.18,75.65
195.94,238.61,81.06,106.64,59.51,73.53,47.27,89.23,58.28,261.69,205.54,336.71,263.55,302.81,210.3,258.05,189.74,324.14,154.43,308.02,304.74,238.61,81.06,106.64,59.51,73.53,47.27,89.23,58.28,261.69,205.54,352.25,272.27,302.86,200.62,260.28,202.72,321.91,146.91,428.59,300.34,81.06,106.64,59.51,73.53,47.27,89.23,58.28,257.46,306.46,197.33,256.75,163.95,325.74,140.86
62.7,96.24,37.34,45.83,68.18,62.9,49.93,51.09,27.31,114.94,125.91,46.45,40.34,41.94,83.36,90.63,29.24,93.5,26.21,51.67,73.45,96.24,37.34,45.83,68.18,62.9,49.93,51.09,27.31,114.94,125.91,45.36,36.23,39.18,93.27,93.23,28.8,107.06,25.78,69.19,76.69,37.34,45.83,68.18,62.9,49.93,51.09,27.31,33,39.46,96.59,97.95,25.44,116.05,24.78
39.09,147.23,48.52,67.62,20.07,12.73,53.23,7.42,21.86,46.27,3.85,23.52,15.42,49.57,11.81,13.42,10.3,9.68,27.61,19.22,3.88,147.23,48.52,67.62,20.07,12.73,53.23,7.42,21.86,46.27,3.85,21.91,11.71,72.24,5.17,11.51,4.8,5.57,26.62,28.64,2.13,48.52,67.62,20.07,12.73,53.23,7.42,21.86,13.39,63.61,8.77,12.23,7.32,6.65,15.9
41.22,193.94,23.27,17.98,9.58,17.69,85.22,9.97,9.21,69.69,6.36,42.29,13,19.34,8.01,24.11,17.69,15.3,13.84,90.94,34.75,193.94,23.27,17.98,9.58,17.69,85.22,9.97,9.21,69.69,6.36,53.8,5.8,9.93,1.28,12.75,11.94,11.59,12.42,120.37,33.7,23.27,17.98,9.58,17.69,85.22,9.97,9.21,9.59,15.41,2.14,19.44,16.43,13.67,13.49
2.11,89.66,25.63,17.86,7.59,8.51,83.5,12.25,9.73,16.08,0.43,4.36,3.94,6.11,2.15,3.04,6.62,4.07,4.94,6.68,0.46,89.66,25.63,17.86,7.59,8.51,83.5,12.25,9.73,16.08,0.43,2.76,1.01,3.12,0.46,1.6,1.28,3.46,2.44,6.13,0.34,25.63,17.86,7.59,8.51,83.5,12.25,9.73,2.38,5.26,1.05,2.5,4.8,3.5,4.72
9.17,114.23,68.96,24.43,21.18,39.23,138.44,20.38,15.34,14.83,8.17,7.82,8.64,9,5.4,11.7,22.75,8.23,5.99,8.86,10.02,114.23,68.96,24.43,21.18,39.23,138.44,20.38,15.34,14.83,8.17,5.17,5.4,6.89,3.21,11.19,25.17,7.02,3.68,5.09,10.42,68.96,24.43,21.18,39.23,138.44,20.38,15.34,5.4,6.8,4.87,11.48,28.11,8.24,3.93
25.42,378.14,163.19,59.5,41.95,60.09,37.37,33.7,26.48,31.22,37.6,59.86,53.59,51.14,21.45,43.95,40.07,57.16,21.08,28.69,62.65,378.14,163.19,59.5,41.95,60.09,37.37,33.7,26.48,31.22,37.6,82.72,50.98,64.68,13.88,42.83,39.83,61,12.26,20.15,62.09,163.19,59.5,41.95,60.09,37.37,33.7,26.48,57.41,57.56,12,45.29,32.83,70.88,13.82
48.55,253.43,69.12,41.47,69.93,57.48,29.73,20.6,57.34,69.57,10.13,41.55,29.88,39.49,44.91,53.8,42.1,17.03,53.82,41.85,12.87,253.43,69.12,41.47,69.93,57.48,29.73,20.6,57.34,69.57,10.13,41.11,29.22,39.12,45.62,52.99,42.62,23.69,53.8,38.81,20.28,69.12,41.47,69.93,57.48,29.73,20.6,57.34,25.74,40.82,48.13,56.46,29.98,16.43,59.85
