RAIN4PE,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt
61.5,202.84,191.11,190.77,72.85,108.1,25.6,54.16,29.18,182.28,55.13,134.25,141.48,198.62,127.71,154,61.76,73.29,27.52,224.85,211.58,202.84,191.11,190.77,72.85,108.1,25.6,54.16,29.18,182.28,55.13,133.55,136.95,172.96,120.31,143.22,72.39,79.39,39.15,256.09,152.1
173.26,348.41,217.55,101.32,72.73,60.93,36.73,133.51,30.15,139.62,85.59,238.44,198.06,127.04,121.93,102.52,132.76,166.51,36.71,207.37,221.06,348.41,217.55,101.32,72.73,60.93,36.73,133.51,30.15,139.62,85.59,236.52,191.56,131.95,130.19,112.08,130.09,158.42,43.94,235.01,213.54
231.92,85.92,98.55,59.59,79.28,50.52,56.9,73.79,49.94,141.09,70.78,20.88,82.95,82.26,113.28,92.03,138.47,109.12,68.82,190.21,112.25,85.92,98.55,59.59,79.28,50.52,56.9,73.79,49.94,141.09,70.78,20.06,86.56,95.76,117.19,103.55,143.38,113.65,71.44,221.6,112.14
155.45,238.61,81.06,106.64,59.51,73.53,47.27,89.23,58.28,109.11,116.46,187.89,147.09,169.04,117.37,144.02,105.77,180.89,86.2,161.38,180.5,238.61,81.06,106.64,59.51,73.53,47.27,89.23,58.28,109.11,116.46,186.68,155.14,168.43,120.7,145.94,119.2,175.4,91.45,165.61,180.23
54.08,96.24,37.34,45.83,68.18,62.9,49.93,51.09,27.31,36.31,59.12,51.43,44.65,46.41,92.25,100.29,32.51,103.54,29.01,46.87,71.51,96.24,37.34,45.83,68.18,62.9,49.93,51.09,27.31,36.31,59.12,51.03,43.49,45.95,98.01,96.64,35.85,102.24,31,47.85,71.35
20.91,147.23,48.52,67.62,20.07,12.73,53.23,7.42,21.86,13.18,2.18,27.19,17.83,57.28,13.65,15.57,11.83,11.18,31.93,17.25,5.85,147.23,48.52,67.62,20.07,12.73,53.23,7.42,21.86,13.18,2.18,26.22,13.97,77.25,7.05,13.57,6.77,7.37,31.5,18.14,4.96
23.5,193.94,23.27,17.98,9.58,17.69,85.22,9.97,9.21,31.01,2.49,30.61,9.4,14.01,5.75,17.49,12.81,11.06,10.01,86.77,30.65,193.94,23.27,17.98,9.58,17.69,85.22,9.97,9.21,31.01,2.49,37.57,5.18,8.57,1.39,10.95,9.64,9.18,9.41,69.67,29.77
4.34,89.66,25.63,17.86,7.59,8.51,83.5,12.25,9.73,7.99,0.06,7.79,7,10.86,3.84,5.49,11.71,7.27,8.81,16.05,0.28,89.66,25.63,17.86,7.59,8.51,83.5,12.25,9.73,7.99,0.06,6.15,3.38,7.91,1.85,4.13,6.16,6.24,6.65,17.73,2.05
25.84,114.23,68.96,24.43,21.18,39.23,138.44,20.38,15.34,4.67,2.77,17.4,19.28,20.04,12.04,26.15,49.98,18.34,13.33,13.28,14.99,114.23,68.96,24.43,21.18,39.23,138.44,20.38,15.34,4.67,2.77,9.28,9.72,12.09,4.71,24.27,58.3,14.12,6.24,6.22,16.73
22.8,378.14,163.19,59.5,41.95,60.09,37.37,33.7,26.48,15.04,24.65,64.16,57.46,54.78,23,47.06,41.93,61.32,22.57,29.7,75.68,378.14,163.19,59.5,41.95,60.09,37.37,33.7,26.48,15.04,24.65,99.01,52.22,75.19,13.19,45.05,41.25,68.05,11.36,18.37,73.66
